,RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,ECR VS. ADP,Position
0,1,1,Christian McCaffrey,CAR,RB1,13,2,0,RB
1,2,1,Dalvin Cook,MIN,RB2,7,3,0,RB
2,3,1,Alvin Kamara,NO,RB3,6,2,+1,RB
3,4,1,Derrick Henry,TEN,RB4,13,3,-1,RB
4,5,1,Ezekiel Elliott,DAL,RB5,7,2,0,RB
5,6,1,Aaron Jones,GB,RB6,13,0,+2,RB
6,7,1,Davante Adams,GB,WR1,13,1,+3,WR
7,8,2,Saquon Barkley,NYG,RB7,10,2,-1,RB
8,9,2,Tyreek Hill,KC,WR2,12,3,+2,WR
9,10,2,Nick Chubb,CLE,RB8,13,4,-4,RB
10,11,2,Stefon Diggs,BUF,WR3,7,3,+3,WR
11,12,2,Jonathan Taylor,IND,RB9,14,4,-3,RB
12,13,2,Austin Ekeler,LAC,RB10,7,4,0,RB
13,14,2,Travis Kelce,KC,TE1,12,3,-2,TE
14,15,2,Calvin Ridley,ATL,WR4,6,4,+6,WR
15,16,2,DeAndre Hopkins,ARI,WR5,12,2,+1,WR
16,17,2,Antonio Gibson,WAS,RB11,9,3,-1,RB
17,18,2,D.K. Metcalf,SEA,WR6,9,1,+1,WR
18,19,2,Joe Mixon,CIN,RB12,10,3,+1,RB
19,20,2,Najee Harris,PIT,RB13,7,5,-5,RB
20,21,3,A.J. Brown,TEN,WR7,13,3,+3,WR
21,22,3,Justin Jefferson,MIN,WR8,7,3,+1,WR
22,23,3,Keenan Allen,LAC,WR9,7,3,+5,WR
23,24,3,Darren Waller,LV,TE2,8,4,+1,TE
24,25,3,Clyde Edwards-Helaire,KC,RB14,12,4,-3,RB
25,26,3,Allen Robinson II,CHI,WR10,10,3,+8,WR
26,27,3,Terry McLaurin,WAS,WR11,9,3,+4,WR
27,28,3,Patrick Mahomes II,KC,QB1,12,4,-10,QB
28,29,3,CeeDee Lamb,DAL,WR12,7,1,+7,WR
29,30,3,J.K. Dobbins,BAL,RB15,8,4,-4,RB
30,31,3,Chris Carson,SEA,RB16,9,1,-1,RB
31,32,3,David Montgomery,CHI,RB17,10,3,-3,RB
32,33,3,D'Andre Swift,DET,RB18,9,0,0,RB
33,34,3,George Kittle,SF,TE3,6,4,-7,TE
34,35,4,Mike Evans,TB,WR13,9,2,+2,WR
35,36,4,Robert Woods,LAR,WR14,11,5,+6,WR
36,37,4,Chris Godwin,TB,WR15,9,2,+3,WR
37,38,4,Amari Cooper,DAL,WR16,7,1,+5,WR
38,39,4,James Robinson,JAC,RB19,7,4,+19,RB
39,40,4,Darrell Henderson,LAR,RB20,11,4,+5,RB
40,41,4,Miles Sanders,PHI,RB21,14,3,-3,RB
41,42,4,Josh Allen,BUF,QB2,7,1,-7,QB
42,43,4,Julio Jones,TEN,WR17,13,3,-2,WR
43,44,4,D.J. Moore,CAR,WR18,13,5,+10,WR
44,45,4,Cooper Kupp,LAR,WR19,11,5,+3,WR
45,46,4,Josh Jacobs,LV,RB22,8,2,-14,RB
46,47,4,Tyler Lockett,SEA,WR20,9,1,+5,WR
47,48,4,Mike Davis,ATL,RB23,6,2,+9,RB
48,49,4,Diontae Johnson,PIT,WR21,7,2,+7,WR
49,50,4,Kareem Hunt,CLE,RB24,13,4,0,RB
50,51,4,Adam Thielen,MIN,WR22,7,3,-2,WR
51,52,4,Myles Gaskin,MIA,RB25,14,4,-5,RB
52,53,4,Kyler Murray,ARI,QB3,12,2,-14,QB
53,54,4,Mark Andrews,BAL,TE4,8,4,-3,TE
54,55,4,T.J. Hockenson,DET,TE5,9,4,-2,TE
55,56,4,Kyle Pitts,ATL,TE6,6,2,-10,TE
56,57,4,Lamar Jackson,BAL,QB4,8,2,-13,QB
57,58,5,Brandon Aiyuk,SF,WR23,6,5,+3,WR
58,59,5,Tee Higgins,CIN,WR24,10,2,+11,WR
59,60,5,Javonte Williams,DEN,RB26,11,5,+5,RB
60,61,5,Dak Prescott,DAL,QB5,7,2,-6,QB
61,62,5,Chase Edmonds,ARI,RB27,12,3,0,RB
62,63,5,Damien Harris,NE,RB28,14,3,+10,RB
63,64,5,Kenny Golladay,NYG,WR25,10,3,0,WR
64,65,5,Odell Beckham Jr.,CLE,WR26,13,1,+3,WR
65,66,5,Russell Wilson,SEA,QB6,9,0,-7,QB
66,67,5,Raheem Mostert,SF,RB29,6,3,-1,RB
67,68,5,Chase Claypool,PIT,WR27,7,2,+1,WR
68,69,5,Aaron Rodgers,GB,QB7,13,2,-6,QB
69,70,5,Ja'Marr Chase,CIN,WR28,10,2,-3,WR
70,71,5,Melvin Gordon III,DEN,RB30,11,5,+4,RB
71,72,5,Ronald Jones II,TB,RB31,9,0,-1,RB
72,73,5,Justin Herbert,LAC,QB8,7,2,-13,QB
73,74,5,Trey Sermon,SF,RB32,6,3,+10,RB
74,75,5,Michael Carter,NYJ,RB33,6,4,+3,RB
75,76,5,Jerry Jeudy,DEN,WR29,11,4,+6,WR
76,77,5,JuJu Smith-Schuster,PIT,WR30,7,2,-1,WR
77,78,5,Courtland Sutton,DEN,WR31,11,4,+1,WR
78,79,5,Robby Anderson,CAR,WR32,13,5,+2,WR
79,80,5,Noah Fant,DEN,TE7,11,4,-3,TE
80,81,5,Tyler Boyd,CIN,WR33,10,2,+10,WR
81,82,5,James Conner,ARI,RB34,12,3,+13,RB
82,83,6,Ryan Tannehill,TEN,QB9,13,2,+10,QB
83,84,6,Zack Moss,BUF,RB35,7,3,+8,RB
84,85,6,Logan Thomas,WAS,TE8,9,3,+4,TE
85,86,6,Leonard Fournette,TB,RB36,9,0,-6,RB
86,87,6,Brandin Cooks,HOU,WR34,10,3,+11,WR
87,88,6,Deebo Samuel,SF,WR35,6,5,-5,WR
88,89,6,Tom Brady,TB,QB10,9,2,-15,QB
89,90,6,Dallas Goedert,PHI,TE9,14,3,-2,TE
90,91,6,D.J. Chark Jr.,JAC,WR36,7,5,-4,WR
91,92,6,Kenyan Drake,LV,RB37,8,2,+8,RB
92,93,6,Matthew Stafford,LAR,QB11,11,4,-3,QB
93,94,6,Robert Tonyan,GB,TE10,13,3,+5,TE
94,95,6,Jalen Hurts,PHI,QB12,14,4,-10,QB
95,96,6,Gus Edwards,BAL,RB38,8,4,+12,RB
96,97,6,AJ Dillon,GB,RB39,13,0,-3,RB
97,98,6,Will Fuller V,MIA,WR37,14,3,+5,WR
98,99,6,David Johnson,HOU,RB40,10,4,-2,RB
99,100,6,DeVonta Smith,PHI,WR38,14,3,-14,WR
100,101,6,Tyler Higbee,LAR,TE11,11,2,+4,TE
101,102,6,Antonio Brown,TB,WR39,9,2,-6,WR
102,103,6,Jamaal Williams,DET,RB41,9,0,+18,RB
103,104,6,Corey Davis,NYJ,WR40,6,4,+13,WR
104,105,6,Devin Singletary,BUF,RB42,7,3,+2,RB
105,106,6,Jarvis Landry,CLE,WR41,13,1,-4,WR
106,107,6,Nyheim Hines,IND,RB43,14,4,+18,RB
107,108,6,Joe Burrow,CIN,QB13,10,2,-2,QB
108,109,6,Curtis Samuel,WAS,WR42,9,3,+4,WR
109,110,6,Laviska Shenault Jr.,JAC,WR43,7,5,+1,WR
110,111,6,Tony Pollard,DAL,RB44,7,2,+9,RB
111,112,6,Mike Gesicki,MIA,TE12,14,4,-2,TE
112,113,6,Mike Williams,LAC,WR44,7,3,+2,WR
113,114,6,Michael Gallup,DAL,WR45,7,1,+5,WR
114,115,6,Irv Smith Jr.,MIN,TE13,7,2,+12,TE
115,116,6,Jonnu Smith,NE,TE14,14,5,+34,TE
116,117,6,Michael Thomas,NO,WR46,6,4,-45,WR
117,118,6,Phillip Lindsay,HOU,RB45,10,4,+30,RB
118,119,6,Marvin Jones Jr.,JAC,WR47,7,5,+17,WR
119,120,7,Latavius Murray,NO,RB46,6,2,+17,RB
120,121,7,Evan Engram,NYG,TE15,10,3,+34,TE
121,122,7,DeVante Parker,MIA,WR48,14,3,+17,WR
122,123,7,Jaylen Waddle,MIA,WR49,14,3,-9,WR
123,124,7,Michael Pittman Jr.,IND,WR50,14,5,0,WR
124,125,7,Darnell Mooney,CHI,WR51,10,3,+7,WR
125,126,7,Marquise Brown,BAL,WR52,8,2,+3,WR
126,127,7,Matt Ryan,ATL,QB14,6,3,+4,QB
127,128,7,James White,NE,RB47,14,3,+39,RB
128,129,7,Trevor Lawrence,JAC,QB15,7,4,-7,QB
129,130,7,Alexander Mattison,MIN,RB48,7,3,+8,RB
130,131,7,J.D. McKissic,WAS,RB49,9,3,+15,RB
131,132,7,Rob Gronkowski,TB,TE16,9,3,-23,TE
132,133,7,Hunter Henry,NE,TE17,14,5,+19,TE
133,134,7,Kirk Cousins,MIN,QB16,7,3,+13,QB
134,135,7,Mecole Hardman,KC,WR53,12,3,0,WR
135,136,7,T.Y. Hilton,IND,WR54,14,5,+13,WR
136,137,7,Baker Mayfield,CLE,QB17,13,3,-4,QB
137,138,7,Giovani Bernard,TB,RB50,9,0,+30,RB
138,139,7,Russell Gage,ATL,WR55,6,4,+18,WR
139,140,7,Tua Tagovailoa,MIA,QB18,14,4,+14,QB
140,141,7,Gerald Everett,SEA,TE18,9,1,+50,TE
141,142,7,Cole Beasley,BUF,WR56,7,3,-2,WR
142,143,7,Henry Ruggs III,LV,WR57,8,1,-15,WR
143,144,7,Jared Cook,LAC,TE19,7,3,+38,TE
144,145,7,Cole Kmet,CHI,TE20,10,1,+86,TE
145,146,7,Blake Jarwin,DAL,TE21,7,2,+49,TE
146,147,7,Austin Hooper,CLE,TE22,13,2,+80,TE
147,148,7,Tevin Coleman,NYJ,RB51,6,4,+12,RB
148,149,7,Rashaad Penny,SEA,RB52,9,1,+10,RB
149,150,7,Adam Trautman,NO,TE23,6,4,+20,TE
150,151,7,Nelson Agholor,NE,WR58,14,4,+24,WR
151,152,7,Elijah Moore,NYJ,WR59,6,4,-9,WR
152,153,7,Ryan Fitzpatrick,WAS,QB19,9,4,+19,QB
153,154,7,Sterling Shepard,NYG,WR60,10,3,+38,WR
154,155,7,Justin Fields,CHI,QB20,10,2,-10,QB
155,156,7,Jalen Reagor,PHI,WR61,14,3,+25,WR
156,157,7,Ben Roethlisberger,PIT,QB21,7,4,+4,QB
157,158,8,Tre'Quan Smith,NO,WR62,6,4,+44,WR
158,159,8,Jakobi Meyers,NE,WR63,14,4,+46,WR
159,160,8,Daniel Jones,NYG,QB22,10,4,+72,QB
160,161,8,Rashod Bateman,BAL,WR64,8,2,+8,WR
161,162,8,Derek Carr,LV,QB23,8,3,+45,QB
162,163,8,Jamison Crowder,NYJ,WR65,6,4,+26,WR
163,164,8,Los Angeles Rams,LAR,DST1,11,3,-63,DS
164,165,8,Pittsburgh Steelers,PIT,DST2,7,2,-61,DS
165,166,8,Anthony Firkser,TEN,TE24,13,2,+48,TE
166,167,8,Eric Ebron,PIT,TE25,7,5,+53,TE
167,168,8,Gabriel Davis,BUF,WR66,7,3,+57,WR
168,169,8,Emmanuel Sanders,BUF,WR67,7,3,+18,WR
169,170,8,Zach Ertz,PHI,TE26,14,3,-14,TE
170,171,8,Baltimore Ravens,BAL,DST3,8,2,-53,DS
171,172,8,Tarik Cohen,CHI,RB53,10,3,+6,RB
172,173,8,Rondale Moore,ARI,WR68,12,2,+17,WR
173,174,8,John Brown,LV,WR69,8,1,+47,WR
174,175,8,Washington Football Team,WAS,DST4,9,2,-63,DS
175,176,8,San Francisco 49ers,SF,DST5,6,3,-46,DS
176,177,8,Tampa Bay Buccaneers,TB,DST6,9,5,-61,DS
177,178,8,Justin Tucker,BAL,K1,8,4,-55,K1
178,179,8,Trey Lance,SF,QB24,6,5,-26,QB
179,180,8,Christian Kirk,ARI,WR70,12,2,+42,WR
180,181,8,Malcolm Brown,MIA,RB54,14,4,+37,RB
181,182,8,Parris Campbell,IND,WR71,14,5,+65,WR
182,183,8,Zach Wilson,NYJ,QB25,6,3,-3,QB
183,184,8,Harrison Butker,KC,K2,12,2,-58,K2
184,185,8,Bryan Edwards,LV,WR72,8,1,+21,WR
185,186,8,Indianapolis Colts,IND,DST7,14,2,-45,DS
186,187,8,Younghoe Koo,ATL,K3,6,3,-53,K3
187,188,8,Sam Darnold,CAR,QB26,13,4,+45,QB
188,189,8,Darius Slayton,NYG,WR73,10,3,+65,WR
189,190,8,New England Patriots,NE,DST8,14,0,-16,DS
190,191,8,Breshad Perriman,DET,WR74,9,1,+64,WR
191,192,8,Buffalo Bills,BUF,DST9,7,3,-48,DS
192,193,8,Greg Zuerlein,DAL,K4,7,4,-35,K4
193,194,8,Darrel Williams,KC,RB55,12,4,-6,RB
194,195,8,Salvon Ahmed,MIA,RB56,14,4,+22,RB
195,196,8,Randall Cobb,GB,WR75,13,1,-13,WR
196,197,8,Marlon Mack,IND,RB57,14,4,-34,RB
197,198,8,A.J. Green,ARI,WR76,12,2,-19,WR
198,199,8,Darrynton Evans,TEN,RB58,13,3,+31,RB
199,200,8,Kenneth Gainwell,PHI,RB59,14,3,+3,RB
200,201,8,Carson Wentz,IND,QB27,14,4,+12,QB
201,202,8,Amon-Ra St. Brown,DET,WR77,9,1,-2,WR
202,203,8,Sammy Watkins,BAL,WR78,8,2,+21,WR
203,204,8,New Orleans Saints,NO,DST10,6,3,+37,DS
204,205,8,Jared Goff,DET,QB28,9,1,+23,QB
205,206,8,Kansas City Chiefs,KC,DST11,12,1,-20,DS
206,207,8,Terrace Marshall Jr.,CAR,WR79,13,5,-10,WR
207,208,9,Allen Lazard,GB,WR80,13,1,+32,WR
208,209,9,Damien Williams,CHI,RB60,10,3,-16,RB
209,210,9,Jason Sanders,MIA,K5,14,4,-59,K5
210,211,9,Sony Michel,NE,RB61,14,3,-7,RB
211,212,9,Justin Jackson,LAC,RB62,7,4,+36,RB
212,213,9,Denver Broncos,DEN,DST12,11,2,-28,DS
213,214,9,Matt Prater,ARI,K6,12,4,-6,K6
214,215,9,Chicago Bears,CHI,DST13,10,2,+24,DS
215,216,9,Rodrigo Blankenship,IND,K7,14,3,-52,K7
216,217,9,Jameis Winston,NO,QB29,6,3,-1,QB
217,218,9,Hayden Hurst,ATL,TE27,6,2,+17,TE
218,219,9,Miami Dolphins,MIA,DST14,14,2,-25,DS
219,220,9,Los Angeles Chargers,LAC,DST15,7,4,+78,DS
220,221,9,Cleveland Browns,CLE,DST16,13,3,-50,DS
221,222,9,Marquez Valdes-Scantling,GB,WR81,13,1,+58,WR
222,223,9,Robbie Gould,SF,K8,6,4,-12,K8
223,224,9,Dawson Knox,BUF,TE28,7,2,+21,TE
224,225,9,Carlos Hyde,JAC,RB63,7,4,+103,RB
225,226,9,Tyrell Williams,DET,WR82,9,1,+55,WR
226,227,9,Tyler Bass,BUF,K9,7,3,-85,K9
227,228,9,Boston Scott,PHI,RB64,14,3,+15,RB
228,229,9,Cam Newton,NE,QB30,14,5,-31,QB
229,230,9,Jason Myers,SEA,K10,9,4,-18,K1
230,231,9,Chuba Hubbard,CAR,RB65,13,2,-69,RB
231,232,9,Ryan Succop,TB,K11,9,2,-56,K1
232,233,9,Green Bay Packers,GB,DST17,13,5,+20,DS
233,234,9,Joshua Kelley,LAC,RB66,7,4,+30,RB
234,235,9,Mason Crosby,GB,K12,13,0,-36,K1
235,236,9,Seattle Seahawks,SEA,DST18,9,4,-10,DS
236,237,9,Wil Lutz,NO,K13,6,4,-53,K1
237,238,9,Minnesota Vikings,MIN,DST19,7,3,-15,DS
238,239,9,Mark Ingram II,HOU,RB67,10,4,-38,RB
239,240,9,Michael Badgley,LAC,K14,7,2,+16,K1
240,241,9,Van Jefferson,LAR,WR83,11,5,+52,WR
241,242,9,Brandon McManus,DEN,K15,11,1,-8,K1
242,243,9,Tim Patrick,DEN,WR84,11,4,+84,WR
243,244,9,O.J. Howard,TB,TE29,9,3,+7,TE
244,245,9,Daniel Carlson,LV,K16,8,2,-35,K1
245,246,9,Josh Reynolds,TEN,WR85,13,3,+69,WR
246,247,9,Philadelphia Eagles,PHI,DST20,14,4,+40,DS
